timestamp_utc,time,rxCall,rxGrid,rx_lat,rx_lon,band,snr,distance,distance_miles,distance_km,distance_unit,antenna_azimuth,beacon_bin_azimuth,bearing,run_key,pair_id,pair_role
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DL0BR/1,JO43jb,53.0625,8.791666666666666,10,-22,7253,7253,11672.54302,mi,45,45,41,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",OE6ADD-3,JN77pa,47.020833333333336,15.291666666666666,10,-16,7975,7975,12834.486499999999,mi,45,45,45,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",OH3FR,KP20,60.5,25,10,-12,7722,7722,12427.32348,mi,45,45,30,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DARCT13,JN47wn,47.5625,9.875,10,-17,7588,7588,12211.67192,mi,45,45,46,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",PD0CHH,JO22wn,52.5625,5.875,10,-17,7096,7096,11419.87664,mi,45,45,43,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",OH6BG,KP03qa,63.020833333333336,21.375,10,-11,7413,7413,11930.03742,mi,45,45,28,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DC5AL-R,JO31lk,51.4375,6.958333333333333,10,1,7213,7213,11608.16942,mi,45,45,43,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",HB9VQQ/KS,JN47kh,47.3125,8.875,10,-3,7534,7534,12124.76756,mi,45,45,47,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",KD4ADC,EM74dk,34.4375,-85.70833333333333,10,-25,124,124,199.55816,mi,45,45,292,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",WD4ELG,FM06be,36.1875,-79.875,10,-20,481,481,774.09254,mi,45,45,59,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",EI4JJB,IO63bp,53.645833333333336,-7.875,10,-17,6185,6185,9953.7679,mi,45,45,44,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DO1EHS,JO31me,51.1875,7.041666666666666,10,-8,7229,7229,11633.91886,mi,45,45,44,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",OE2UKL,JN68la,48.020833333333336,12.958333333333334,10,-22,7768,7768,12501.35312,mi,45,45,45,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",PE1FJN,JO32bl,52.479166666666664,6.125,10,-12,7115,7115,11450.4541,mi,45,45,43,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DK8FT/P,JN58oe,48.1875,11.208333333333334,10,-17,7645,7645,12303.4043,mi,45,45,45,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",OE3GBB,JN87aq,47.6875,16.041666666666668,10,-11,7986,7986,12852.18924,mi,45,45,44,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",GM0UDL,IO77vo,57.604166666666664,-4.208333333333334,10,6,6315,6315,10162.9821,mi,45,45,39,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",F5OIH,JN06ci,46.354166666666664,0.20833333333333331,10,3,6976,6976,11226.75584,mi,45,45,51,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",G7CKX/SDR5,IO83wb,53.0625,-2.125,10,-24,6571,6571,10574.97314,mi,45,45,44,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",PE2BZ-KI-V,JO21cx,51.979166666666664,4.208333333333333,10,0,7015,7015,11289.5201,mi,45,45,44,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DL4HAO,JO53as,53.770833333333336,10.041666666666666,10,-6,7296,7296,11741.74464,mi,45,45,40,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",PA3GUK,JO32gu,52.854166666666664,6.541666666666667,10,-22,7124,7124,11464.93816,mi,45,45,42,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",HB9GPU,JN47re,47.1875,9.458333333333334,10,-20,7579,7579,12197.18786,mi,45,45,47,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",SM7IUN,JO65mr,55.729166666666664,13.041666666666666,10,-5,7376,7376,11870.49184,mi,45,45,38,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
2026-03-01T13:38:00,"3/1/2026, 08:38:00",DB1UJ-1,JO41jr,51.729166666666664,8.791666666666666,10,-14,7315,7315,11772.3221,mi,45,45,43,076bc67a-6f76-4b2e-9cd9-7cc68459f98a,PAIR1-MM8G71US-MU6RR,front
